知乎昵称,主页链接,粉丝数,认证,公众号,标签,地区
闫跃龙,https://www.zhihu.com/people/yanyuelong/answers,"11,275","获得 7,358 次赞同",,"('华为', '京东', '互联网', '阿里巴巴集团')",北京
半次元,https://www.zhihu.com/org/ban-ci-yuan-6/activities,"205,710","获得 220,423 次赞同",,"('动漫', '二次元', 'ACG', '扮装（Cosplay）')",
潘驴,https://www.zhihu.com/people/huolaoye/answers,"196,898","获得 28,638 次赞同",,"('故事', '中国历史', '脑洞类问题', '小说')",
黄河,https://www.zhihu.com/people/e-miao-de-nai-ba/answers,"450,776","获得 611,032 次赞同",,"('英语', '生活', '英语学习', '教育')",
Lydia,https://www.zhihu.com/people/lydia-62/answers,3,,,"('医美', '婴儿洗护用品', '减肥', '海淘转运')",
阿牛先生,https://www.zhihu.com/people/niu-ji-ye/activities,"110,919","获得 371,010 次赞同",,"('生活', '历史', '电影', '装修')",石家庄
李小丢,https://www.zhihu.com/people/li-xiao-diu/answers,"137,694","获得 555,357 次赞同",,"('生活', '电影', '文学', '音乐')",北京
霄汉,https://www.zhihu.com/people/xuyao/activities,"260,838","获得 35,326 次赞同",,"('古典音乐', '音乐', '交响乐', '艺术')",北京
万方中,https://www.zhihu.com/people/wansfang/answers,"135,605","获得 437,625 次赞同",个人公众号：方独（ID:wansfang）,"('互联网', '科技', '文学', '创业')",长沙
张佳玮,https://www.zhihu.com/people/zhang-jia-wei/answers,"2,777,837","获得 7,648,105 次赞同",公众号：张佳玮写字的地方,,
陈柏龄,https://www.zhihu.com/people/chenbailing/activities,"870,079","获得 438,856 次赞同",公众号：陈柏龄的酱油台，两本新书《量化健身》已出版,"('健身', '文学', '书籍推荐', '科幻小说')",广州市
何,https://www.zhihu.com/people/he-tao-62-44/activities,"145,227","获得 147,541 次赞同",,,北京
SME情报员,https://www.zhihu.com/people/sme-98/answers,"625,981","获得 2,578,033 次赞同",讲讲科学史，聊聊科学家，挖挖冷知识（公众号：SME科技故事）,"('科学', '科技', '互联网', '人工智能')",广州市
叶落孤舟,https://www.zhihu.com/people/yeluoguzhou/answers,"77,641","获得 128,629 次赞同",,"('英雄联盟（LoL）', '游戏', '电子竞技', '互联网')",
解忧杂货店,https://www.zhihu.com/people/YX1Q84/answers,"3,194","获得 2,832 次赞同",,"('生活', '美食', '创业', '互联网')",北京
城年,https://www.zhihu.com/people/cheng-nian/answers,"126,860","获得 198,479 次赞同",,"('健身', '健康', '电影', '互联网')",
青岚,https://www.zhihu.com/people/qing-lan-98/answers,"128,818","获得 229,630 次赞同",公众号微博均是：人生冒险家青岚；知识星球：青岚支招；,"('互联网', '电影', '日语', '产品经理')",东京
圣范锦意,https://www.zhihu.com/people/sheng-fan-jin-yi/activities,"280,797","获得 2,802,035 次赞同",欢迎关注同名公众号：圣范锦意 / 唯一微博：圣・范锦意,"('婚姻', '情感', '脑洞类问题', '大学')",无锡
安雅,https://www.zhihu.com/people/ayat/activities,"183,959","获得 627,952 次赞同",微信公众号：安雅（微信号 iiianya）,"('调查类问题', '知乎', '宗教', '信息技术（IT）')",
刘洹Burning,https://www.zhihu.com/people/MrBurning/answers,"196,875","获得 194,112 次赞同",,"('健身', '减肥', '健康', '运动')",
东北爷们儿爱做饭,https://www.zhihu.com/people/mihuamama/answers,"115,443","获得 79,941 次赞同",,"('美食', '烹饪', '东北', '食品安全')",辽宁铁岭
,https://www.zhihu.com/people/chen-yao-39-75/answers,,,,,
老李校长,https://www.zhihu.com/people/niu-yue-lao-li-xiao-chang/answers,"190,091","获得 20,961 次赞同",不后悔不留遗憾。公众号和微博：老李校长。知乎不是主战场。,"('人际交往', '职场', '职业发展', '商业')",
白诗诗,https://www.zhihu.com/people/bai-shi-gang/answers,"299,700","获得 654,981 次赞同",,"('生活', '心理学', '大学', '生活方式')",微信个人公众号:白诗诗
飒姐,https://www.zhihu.com/people/thus-helian/answers,"228,696","获得 895,893 次赞同",,"('医学', '医生', '健康', '怀孕')",
meagloria,https://www.zhihu.com/people/meagloria/activities,"159,767","获得 54,642 次赞同",,"('两性关系', '生活', '情感', '女性')",深圳
,https://www.zhihu.com/people/hp256/answers,,,,,
鱼丸,https://www.zhihu.com/people/therefishball/answers,"364,063","获得 113,222 次赞同",,"('旅行', '生活', '摄影', '文化')",上海
飞行少女阿若,https://www.zhihu.com/people/yiruo-zhang/answers,"88,882","获得 156,749 次赞同",,"('旅行', '美食', '书籍推荐', '纽约')",
是那个Tina,https://www.zhihu.com/people/tinafever/answers,"123,655","获得 85,184 次赞同",,"('怀孕', '情感', '瑜伽', '健身')",
,https://www.zhihu.com/people/MartiniZhang/answers,,,,,
张今儿,https://www.zhihu.com/people/jinercheung/answers,"68,938","获得 40,306 次赞同",公众号：张今儿 / 虽然美丽，仔细一看是女作（zuō）家。,"('生活', '故事', '美食', '旅行')",
Gold RIch Money,https://www.zhihu.com/people/zhang-yuan-chao-30/activities,"130,889","获得 464,941 次赞同",,"('医学', '医生', '生活', '丽江')",
情何以甚,https://www.zhihu.com/people/yin-cong-2/activities,"238,286","获得 842,154 次赞同",,"('文学', '故事', '生活', '脑洞类问题')",不土的甚，不是堪
无色方糖,https://www.zhihu.com/people/reallysugar/answers,"330,561","获得 763,540 次赞同",,"('故事', '小说', '文学', '电影')",武汉
廖家乐,https://www.zhihu.com/people/liao-jia-le-74/answers,"189,246","获得 398,449 次赞同",,"('故事', '文学', '小说', '生活')",
时乙戌,https://www.zhihu.com/people/shi-yi-xu-60/activities,"80,978","获得 464,639 次赞同",公众号时乙戌，微博 时二狗,"('脑洞类问题', '故事', '小说', '调查类问题')",
芳芳,https://www.zhihu.com/people/fang-fang-92-97/answers,0,,,,
王俊俊,https://www.zhihu.com/people/wang-jun-yi-73-97/answers,"123,416","获得 583,063 次赞同",,"('电影', '心理学', '调查类问题', '故事')",B216星球
慧航,https://www.zhihu.com/people/sijichun/answers,"289,665","获得 144,570 次赞同",公众号:「阿尔山下」Keep calm and DO your Research,"('经济学', '计量经济学', '统计学', '数学')",上海
克里斯蒂娜酱,https://www.zhihu.com/people/cristina.jiang/answers,"61,747",获得 807 次赞同,,"('医学', '职业发展', '互联网', '电影')",北京
君临,https://www.zhihu.com/people/junlin_1980/answers,"345,676","获得 655,174 次赞同",微信公众号：君临网。全球投资大趋势。,"('经济', '股票', '投资', '「根话题」')",
图灵Don,https://www.zhihu.com/people/TuringDon,"164,386","获得 360,296 次赞同",,"('互联网', '经济', '中国经济', '经济学')",成都
兔撕鸡大老爷,https://www.zhihu.com/people/tu-si-ji-da-lao-ye,"58,887","获得 279,779 次赞同",,"('生活', '电影', '文学', '故事')",上海
雷斯林,https://www.zhihu.com/people/xie-bo-han-24/answers,"105,167","获得 1,074,906 次赞同",微信公众号：为你写一个故事,"('电影', '游戏', '恋爱', '两性关系')",
源姨,https://www.zhihu.com/people/yuan-jing-82-81/answers,"166,335","获得 285,897 次赞同",,"('情感', '两性关系', '人际交往', '爱情')",南昌
刘小冲,https://www.zhihu.com/people/xiaochong21/answers,"34,657","获得 16,650 次赞同",,"('恋爱', '情感', '恋爱心理', '互联网')",美国
张小姐,https://www.zhihu.com/people/zhangxiaojiesz/answers,"159,691","获得 258,399 次赞同",我的公众号 soulfun玩腻,"('两性关系', '情感', '心理学', '人际交往')",深圳
汪惟,https://www.zhihu.com/people/ccat/activities,"699,393","获得 500,456 次赞同",,"('美食', '生活', '烹饪', '调查类问题')",
毛毛雨,https://www.zhihu.com/people/mmymmy/answers,"212,275","获得 629,104 次赞同",,"('生活', '故事', 'X 是种怎样的体验', '心理学')",月球
桑土公的肚子,https://www.zhihu.com/people/hai-xiang-ta/activities,"80,298","获得 342,649 次赞同",,"('金庸', '倒立', '声乐', '运营')",
馍兽,https://www.zhihu.com/people/bjchaodaye/answers,"36,463","获得 153,643 次赞同",,"('生活', '调查类问题', '恋爱', '情感')",北京
欲三更,https://www.zhihu.com/people/yu-san-geng/answers,"280,906","获得 343,386 次赞同",,"('前端开发', 'JavaScript', '前端工程师', '音乐')",济南
苏菲,https://www.zhihu.com/people/su-fei-17/answers,"546,506","获得 797,950 次赞同",公众号：苏菲的日本。日本文化/旅行/个人成长,"('日本', '日本文化', '生活', '日语')",东京
蔡千,https://www.zhihu.com/people/cai-qian-hua-56/answers,"98,476","获得 457,756 次赞同",,"('生活', '电影', '文学', '人际交往')",北京市
陈亦飘,https://www.zhihu.com/people/chen-yi-piao/answers,"178,429","获得 751,813 次赞同",,"('电影', '恋爱', '调查类问题', '摄影')",北京市
宋雯婷,https://www.zhihu.com/people/minilily/answers,"280,811","获得 472,332 次赞同",,"('电影', '电视剧', '生活方式', '两性关系')",
高百烈,https://www.zhihu.com/people/gabrielgao,"144,784","获得 424,452 次赞同",,"('生活', '互联网', '游戏', '科技')",杭州市
h夏,https://www.zhihu.com/people/yuanxiafeel/answers,"42,518","获得 217,867 次赞同",,"('宠物饲养', '动物学', '心理学', '动物辨识')",
夏昊BFA,https://www.zhihu.com/people/xiahao/activities,"270,648","获得 180,640 次赞同",,"('电影', '摄影', '生活', '教育')",上海徐汇
陈皓宇,https://www.zhihu.com/people/chen-hao-yu/answers,"136,744","获得 41,209 次赞同",,"('体育', '篮球', 'NBA', '利物浦（Liverpool FC）')",上海
周琳,https://www.zhihu.com/people/zhou-lin-26-58/answers,"285,220","获得 153,424 次赞同",,"('健身', '健康', '运动', '运动损伤')",北京生活
贺仙,https://www.zhihu.com/people/wuchangyexue/answers,"199,846","获得 1,390,685 次赞同",,"('历史', '教育', '法律', '高中')",广州
张方,https://www.zhihu.com/people/zhang-fang-3-23/answers,"151,484","获得 977,656 次赞同",b站@皇叔张方。公众号@皇叔张方。微博@皇叔张方,"('历史', '文学', '三国', '诗词')",
安森,https://www.zhihu.com/people/an-sen-yao-49/answers,"199,878","获得 387,954 次赞同",,"('历史', '中国历史', '地理', '文化')",
幸运星,https://www.zhihu.com/people/luckystar/answers,"176,367","获得 247,321 次赞同",,"('互联网', '调查类问题', '生活', '创业')",
一个男人在流浪,https://www.zhihu.com/people/yaketisi/activities,"362,862","获得 647,284 次赞同",,"('动物', '自然科学', '海洋', '生物学')",
痕量Brant,https://www.zhihu.com/people/nusbrant/activities,"180,350","获得 510,692 次赞同",,"('学习', '科技', '动物', '睡眠')",
画狮秋石,https://www.zhihu.com/people/qiushi-16/answers,"125,244","获得 391,234 次赞同",,"('绘画', '漫画', '猫', '思考')",
简浅,https://www.zhihu.com/people/jianzu1126/answers,"579,700","获得 975,605 次赞同",,"('电影', '心理学', '音乐', '职业发展')",杭州市
